country_code,country_name,region,income_level,capital_city,longitude,latitude
1,World,Aggregates,Aggregates,,,
2,Africa,Aggregates,Aggregates,,,
97,European Union,Aggregates,Aggregates,,,
580,Northern Mariana Islands,East Asia & Pacific,High income,Saipan,145.765,15.1935
258,French Polynesia,East Asia & Pacific,High income,Papeete,-149.57,-17.535
16,American Samoa,East Asia & Pacific,High income,Pago Pago,-170.691,-14.2846
316,Guam,East Asia & Pacific,High income,Agana,144.794,13.4443
585,Palau,East Asia & Pacific,High income,Koror,134.479,7.34194
702,Singapore,East Asia & Pacific,High income,Singapore,103.85,1.28941
520,Nauru,East Asia & Pacific,High income,Yaren District,166.920867,-0.5477
96,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan,114.946,4.94199
554,New Zealand,East Asia & Pacific,High income,Wellington,174.776,-41.2865
36,Australia,East Asia & Pacific,High income,Canberra,149.129,-35.282
392,Japan,East Asia & Pacific,High income,Tokyo,139.77,35.67
540,New Caledonia,East Asia & Pacific,High income,Noum'ea,166.464,-22.2677
616,Poland,Europe & Central Asia,High income,Warsaw,21.02,52.26
203,Czechia,Europe & Central Asia,High income,Prague,14.4205,50.0878
234,Faroe Islands,Europe & Central Asia,High income,Torshavn,-6.91181,61.8926
246,Finland,Europe & Central Asia,High income,Helsinki,24.9525,60.1608
276,Germany,Europe & Central Asia,High income,Berlin,13.4115,52.5235
830,Channel Islands,Europe & Central Asia,High income,,,
196,Cyprus,Europe & Central Asia,High income,Nicosia,33.3736,35.1676
292,Gibraltar,Europe & Central Asia,High income,,,
352,Iceland,Europe & Central Asia,High income,Reykjavik,-21.8952,64.1353
40,Austria,Europe & Central Asia,High income,Vienna,16.3798,48.2201
100,Bulgaria,Europe & Central Asia,High income,Sofia,23.3238,42.7105
304,Greenland,Europe & Central Asia,High income,Nuuk,-51.7214,64.1836
372,Ireland,Europe & Central Asia,High income,Dublin,-6.26749,53.3441
300,Greece,Europe & Central Asia,High income,Athens,23.7166,37.9792
620,Portugal,Europe & Central Asia,High income,Lisbon,-9.13552,38.7072
642,Romania,Europe & Central Asia,High income,Bucharest,26.0979,44.4479
191,Croatia,Europe & Central Asia,High income,Zagreb,15.9614,45.8069
250,France,Europe & Central Asia,High income,Paris,2.35097,48.8566
705,Slovenia,Europe & Central Asia,High income,Ljubljana,14.5044,46.0546
